,,0
INTU,ENPH,-0.8451821072687166
ENPH,INTU,-0.8451821072687166
PANW,KHC,-0.8451382401750566
KHC,PANW,-0.8451382401750566
KHC,SNPS,-0.8447484106254052
SNPS,KHC,-0.8447484106254052
CEG,AEP,-0.8446466623943543
AEP,CEG,-0.8446466623943543
WBA,AVGO,-0.843115095945987
AVGO,WBA,-0.843115095945987
XEL,GOOGL,-0.8428020778805514
GOOGL,XEL,-0.8428020778805514
GOOG,XEL,-0.8427596282912784
XEL,GOOG,-0.8427596282912784
GILD,NVDA,-0.8423862178294946
NVDA,GILD,-0.8423862178294946
KHC,COST,-0.8417656066847878
COST,KHC,-0.8417656066847878
XEL,ADBE,-0.8403161147352999
ADBE,XEL,-0.8403161147352999
AMZN,KHC,-0.8398854791447754
KHC,AMZN,-0.8398854791447754
VRTX,ENPH,-0.8398704976630313
ENPH,VRTX,-0.8398704976630313
WBA,PCAR,-0.8398466184092415
PCAR,WBA,-0.8398466184092415
XEL,VRSK,-0.8398269771754145
VRSK,XEL,-0.8398269771754145
WBA,PANW,-0.8397171026923331
PANW,WBA,-0.8397171026923331
CRWD,AEP,-0.8393338948683277
AEP,CRWD,-0.8393338948683277
CRWD,JD,-0.8392740666038411
JD,CRWD,-0.8392740666038411
MRNA,INTU,-0.8380498434069947
INTU,MRNA,-0.8380498434069947
AEP,AMZN,-0.837411477811471
AMZN,AEP,-0.837411477811471
CTAS,MRNA,-0.8370855685675445
MRNA,CTAS,-0.8370855685675445
ENPH,MSFT,-0.8364514977632984
MSFT,ENPH,-0.8364514977632984
AEP,AMAT,-0.8356515555751656
AMAT,AEP,-0.8356515555751656
KHC,AMAT,-0.8356503731117242
AMAT,KHC,-0.8356503731117242
INTC,WBA,-0.8352000619938543
WBA,INTC,-0.8352000619938543
LULU,MRNA,-0.8350798651250978
MRNA,LULU,-0.8350798651250978
ENPH,ADBE,-0.8346361954468043
ADBE,ENPH,-0.8346361954468043
AEP,INTU,-0.833118055651942
INTU,AEP,-0.833118055651942
AEP,COST,-0.8320892439430376
COST,AEP,-0.8320892439430376
WBA,CPRT,-0.8319653793613312
CPRT,WBA,-0.8319653793613312
GILD,META,-0.8311869293946028
META,GILD,-0.8311869293946028
LRCX,MRNA,-0.831100725678528
MRNA,LRCX,-0.831100725678528
XEL,TEAM,-0.8306174444216363
TEAM,XEL,-0.8306174444216363
NVDA,JD,-0.8305414573806089
JD,NVDA,-0.8305414573806089
AVGO,XEL,-0.8299866940108896
XEL,AVGO,-0.8299866940108896
VRTX,MRNA,-0.8298760382728106
MRNA,VRTX,-0.8298760382728106
WBA,BKNG,-0.8294858427153815
BKNG,WBA,-0.8294858427153815
XEL,MAR,-0.8272782426985165
MAR,XEL,-0.8272782426985165
ENPH,MAR,-0.8269046829744442
MAR,ENPH,-0.8269046829744442
ODFL,KHC,-0.8268449537786653
KHC,ODFL,-0.8268449537786653
AEP,PANW,-0.8261815294572681
PANW,AEP,-0.8261815294572681
AMZN,XEL,-0.8246270489805239
XEL,AMZN,-0.8246270489805239
GILD,PANW,-0.8241304238158733
PANW,GILD,-0.8241304238158733
GILD,VRSK,-0.8235818181724485
VRSK,GILD,-0.8235818181724485
XEL,BKNG,-0.8234834865569499
BKNG,XEL,-0.8234834865569499
ILMN,CRWD,-0.8233476667741044
CRWD,ILMN,-0.8233476667741044
ENPH,FAST,-0.822987031336856
FAST,ENPH,-0.822987031336856
ILMN,CTAS,-0.8226714410932595
CTAS,ILMN,-0.8226714410932595
GILD,AMAT,-0.821639894008796
AMAT,GILD,-0.821639894008796
CDNS,KHC,-0.8210182532914403
KHC,CDNS,-0.8210182532914403
AEP,CDNS,-0.8208901437696485
CDNS,AEP,-0.8208901437696485
GOOGL,JD,-0.8199359077799281
JD,GOOGL,-0.8199359077799281
GOOG,JD,-0.8194845135452004
JD,GOOG,-0.8194845135452004
XEL,INTU,-0.8191884869357144
INTU,XEL,-0.8191884869357144
LRCX,AEP,-0.8188000167205992
AEP,LRCX,-0.8188000167205992
ILMN,ADBE,-0.8186235305279544
ADBE,ILMN,-0.8186235305279544
ENPH,PANW,-0.8183622670649819
PANW,ENPH,-0.8183622670649819
LRCX,ENPH,-0.8181411989950277
ENPH,LRCX,-0.8181411989950277
MRNA,AMAT,-0.8167919276940666
AMAT,MRNA,-0.8167919276940666
PCAR,XEL,-0.8165974264545001
XEL,PCAR,-0.8165974264545001
PCAR,ENPH,-0.8165670358044409
ENPH,PCAR,-0.8165670358044409
META,XEL,-0.8164957704785204
XEL,META,-0.8164957704785204
LRCX,XEL,-0.8163802567815897
XEL,LRCX,-0.8163802567815897
CPRT,GILD,-0.8158776195344185
GILD,CPRT,-0.8158776195344185
MRNA,MU,-0.8147233159846883
MU,MRNA,-0.8147233159846883
AVGO,ENPH,-0.8139524204730738
ENPH,AVGO,-0.8139524204730738
ZS,AEP,-0.8135037504319476
AEP,ZS,-0.8135037504319476
WBA,MAR,-0.8133866180299503
MAR,WBA,-0.8133866180299503
JD,SNPS,-0.8133623023239325
SNPS,JD,-0.8133623023239325
KHC,CRWD,-0.8131447024942037
CRWD,KHC,-0.8131447024942037
JD,FAST,-0.8128470328337074
FAST,JD,-0.8128470328337074
MRNA,MAR,-0.8121183847066921
MAR,MRNA,-0.8121183847066921
MRNA,ORLY,-0.8116464839613158
ORLY,MRNA,-0.8116464839613158
WBA,MU,-0.8109614525501073
MU,WBA,-0.8109614525501073
AEP,PCAR,-0.8101428984561717
PCAR,AEP,-0.8101428984561717
GILD,GOOGL,-0.8094345903499558
GOOGL,GILD,-0.8094345903499558
BKNG,AEP,-0.8090681172707828
AEP,BKNG,-0.8090681172707828
AEP,MAR,-0.8089354902210013
MAR,AEP,-0.8089354902210013
ILMN,ZS,-0.8089181233045549
ZS,ILMN,-0.8089181233045549
ODFL,XEL,-0.8085441017431039
XEL,ODFL,-0.8085441017431039
VRTX,JD,-0.808184929012201
JD,VRTX,-0.808184929012201
XEL,CEG,-0.8080770498425415
CEG,XEL,-0.8080770498425415
GOOG,GILD,-0.8080064733944974
GILD,GOOG,-0.8080064733944974
WBA,ZS,-0.8079152663518672
ZS,WBA,-0.8079152663518672
KHC,MAR,-0.8077090695762209
MAR,KHC,-0.8077090695762209
XEL,WDAY,-0.807661421104979
WDAY,XEL,-0.807661421104979
KHC,BKNG,-0.8063529463025754
BKNG,KHC,-0.8063529463025754
AEP,CPRT,-0.8056904712874084
CPRT,AEP,-0.8056904712874084
SNPS,ILMN,-0.8056283795564336
ILMN,SNPS,-0.8056283795564336
MSFT,WBA,-0.8055603952879218
WBA,MSFT,-0.8055603952879218
SNPS,XEL,-0.8053930781624186
XEL,SNPS,-0.8053930781624186
AAPL,JD,-0.804290787189443
JD,AAPL,-0.804290787189443
ENPH,AMAT,-0.8041001351053946
AMAT,ENPH,-0.8041001351053946
AMAT,WBA,-0.8037590918959817
WBA,AMAT,-0.8037590918959817
LRCX,KHC,-0.8030886250122948
KHC,LRCX,-0.8030886250122948
LRCX,WBA,-0.8029594704579904
WBA,LRCX,-0.8029594704579904
XEL,COST,-0.8014926857900673
COST,XEL,-0.8014926857900673
KHC,TEAM,-0.8013594473624126
TEAM,KHC,-0.8013594473624126
WBA,VRTX,-0.8008121709385608
VRTX,WBA,-0.8008121709385608
VRSK,JD,-0.8003722523966345
JD,VRSK,-0.8003722523966345
ENPH,INTC,-0.7999835615505375
INTC,ENPH,-0.7999835615505375
GILD,LRCX,-0.7996868260574954
LRCX,GILD,-0.7996868260574954
ENPH,LULU,-0.7995155881623438
LULU,ENPH,-0.7995155881623438
PEP,PDD,-0.7990674772944714
PDD,PEP,-0.7990674772944714
KHC,WDAY,-0.7989771618910801
WDAY,KHC,-0.7989771618910801
XEL,PANW,-0.798760274618698
PANW,XEL,-0.798760274618698
PYPL,CRWD,-0.7979963036650558
CRWD,PYPL,-0.7979963036650558
MRNA,AAPL,-0.7973748124451197
AAPL,MRNA,-0.7973748124451197
GILD,AVGO,-0.7969723220326538
AVGO,GILD,-0.7969723220326538
WBA,KLAC,-0.7963652674603163
KLAC,WBA,-0.7963652674603163
CDNS,GILD,-0.7960797195237277
GILD,CDNS,-0.7960797195237277
INTU,ILMN,-0.7955273250616006
ILMN,INTU,-0.7955273250616006
ILMN,COST,-0.79509686606404
COST,ILMN,-0.79509686606404
CTAS,ENPH,-0.7948801898516892
ENPH,CTAS,-0.7948801898516892
TEAM,AEP,-0.7944809818665253
AEP,TEAM,-0.7944809818665253
CEG,PYPL,-0.7930162325053622
PYPL,CEG,-0.7930162325053622
ENPH,SGEN,-0.7927518925081717
SGEN,ENPH,-0.7927518925081717
AEP,KLAC,-0.7910547457523727
KLAC,AEP,-0.7910547457523727
ENPH,CEG,-0.7909257797690893
CEG,ENPH,-0.7909257797690893
AAPL,GILD,-0.7907738855443046
GILD,AAPL,-0.7907738855443046
VRTX,KDP,-0.7892054347001601
KDP,VRTX,-0.7892054347001601
GILD,MSFT,-0.7876136503811599
MSFT,GILD,-0.7876136503811599
MRNA,WDAY,-0.7870734931923032
WDAY,MRNA,-0.7870734931923032
JD,ORLY,-0.7869312677384682
ORLY,JD,-0.7869312677384682
LULU,JD,-0.786691037353554
JD,LULU,-0.786691037353554
WBA,WDAY,-0.7865845344232855
WDAY,WBA,-0.7865845344232855
GOOG,PYPL,-0.786083879896214
PYPL,GOOG,-0.786083879896214
GILD,AMD,-0.7854740580777587
AMD,GILD,-0.7854740580777587
DLTR,CEG,-0.7849446679211756
CEG,DLTR,-0.7849446679211756
KHC,CPRT,-0.7844545135766069
CPRT,KHC,-0.7844545135766069
KHC,ZS,-0.7839485106104856
ZS,KHC,-0.7839485106104856
PYPL,VRSK,-0.7834404336029493
VRSK,PYPL,-0.7834404336029493
CEG,MRNA,-0.7834398595439819
MRNA,CEG,-0.7834398595439819
GOOGL,PYPL,-0.782796831354522
PYPL,GOOGL,-0.782796831354522
INTC,MRNA,-0.7823030920436179
MRNA,INTC,-0.7823030920436179
WBA,LULU,-0.7822974513718683
LULU,WBA,-0.7822974513718683
BKNG,JD,-0.7805157913491161
JD,BKNG,-0.7805157913491161
ZS,XEL,-0.7804439117110769
XEL,ZS,-0.7804439117110769
GILD,SNPS,-0.7781266709968134
SNPS,GILD,-0.7781266709968134
AMZN,GILD,-0.7780563341409609
GILD,AMZN,-0.7780563341409609
CSCO,KHC,-0.7778243588190772
KHC,CSCO,-0.7778243588190772
KLAC,KHC,-0.7764896251355957
KHC,KLAC,-0.7764896251355957
XEL,KLAC,-0.7761225215874329
KLAC,XEL,-0.7761225215874329
XEL,CSCO,-0.7755743548983808
CSCO,XEL,-0.7755743548983808
MU,AEP,-0.7748876486698066
AEP,MU,-0.7748876486698066
CMCSA,XEL,-0.774359914156324
XEL,CMCSA,-0.774359914156324
KHC,BKR,-0.7741636774055065
BKR,KHC,-0.7741636774055065
KDP,META,-0.7729232778155095
META,KDP,-0.7729232778155095
MRNA,AMD,-0.7723765863521208
AMD,MRNA,-0.7723765863521208
PDD,BIIB,-0.7722734469757185
BIIB,PDD,-0.7722734469757185
WDAY,AEP,-0.7719427856201074
AEP,WDAY,-0.7719427856201074
INTC,ILMN,-0.7718933601729924
ILMN,INTC,-0.7718933601729924
KHC,VRTX,-0.7698555266974251
VRTX,KHC,-0.7698555266974251
CTAS,KHC,-0.7697487391532586
KHC,CTAS,-0.7697487391532586
CDNS,XEL,-0.7693540942571473
XEL,CDNS,-0.7693540942571473
AMZN,JD,-0.7688068201463077
JD,AMZN,-0.7688068201463077
GILD,TTD,-0.768804968454435
TTD,GILD,-0.768804968454435
CPRT,KDP,-0.7687511570633953
KDP,CPRT,-0.7687511570633953
TTD,KHC,-0.7678995397239549
KHC,TTD,-0.7678995397239549
JD,AMD,-0.7677491930728362
AMD,JD,-0.7677491930728362
TSLA,XEL,-0.7676322014906127
XEL,TSLA,-0.7676322014906127
ENPH,CMCSA,-0.7672737419404965
CMCSA,ENPH,-0.7672737419404965
PCAR,ILMN,-0.7666443902757226
ILMN,PCAR,-0.7666443902757226
FAST,KHC,-0.7641228832234268
KHC,FAST,-0.7641228832234268
MSFT,KDP,-0.7625703804345781
KDP,MSFT,-0.7625703804345781
AEP,MSFT,-0.7622363691057521
MSFT,AEP,-0.7622363691057521
XEL,BKR,-0.7622110933373221
BKR,XEL,-0.7622110933373221
PYPL,SNPS,-0.7620069075566519
SNPS,PYPL,-0.7620069075566519
DXCM,AMGN,-0.7617166291069086
AMGN,DXCM,-0.7617166291069086
WDAY,ENPH,-0.760988026798614
ENPH,WDAY,-0.760988026798614
XEL,CRWD,-0.7606671628588403
CRWD,XEL,-0.7606671628588403
AEP,ODFL,-0.7601674665671758
ODFL,AEP,-0.7601674665671758
TSLA,KHC,-0.7601531986174915
KHC,TSLA,-0.7601531986174915
AEP,CTAS,-0.7594324941578371
CTAS,AEP,-0.7594324941578371
ODFL,WBA,-0.7588715229963865
WBA,ODFL,-0.7588715229963865
KDP,GOOG,-0.7588250257413737
GOOG,KDP,-0.7588250257413737
ENPH,KLAC,-0.7583440065279863
KLAC,ENPH,-0.7583440065279863
WBA,FAST,-0.7569519855078913
FAST,WBA,-0.7569519855078913
KLAC,ILMN,-0.7569268282742168
ILMN,KLAC,-0.7569268282742168
WDAY,GILD,-0.7568369099737394
GILD,WDAY,-0.7568369099737394
MRNA,KLAC,-0.7565018700361268
KLAC,MRNA,-0.7565018700361268
GOOGL,KDP,-0.7563769986666431
KDP,GOOGL,-0.7563769986666431
ENPH,ORLY,-0.7555367944919583
ORLY,ENPH,-0.7555367944919583
AVGO,JD,-0.7548059433849947
JD,AVGO,-0.7548059433849947
XEL,CPRT,-0.753330046038477
CPRT,XEL,-0.753330046038477
PANW,KDP,-0.752087659906753
KDP,PANW,-0.752087659906753
TTD,XEL,-0.7520047256552982
XEL,TTD,-0.7520047256552982
MRNA,TTD,-0.7510058161747482
TTD,MRNA,-0.7510058161747482
MSFT,KHC,-0.7504342273609764
KHC,MSFT,-0.7504342273609764
VRSK,KDP,-0.7498819518895624
KDP,VRSK,-0.7498819518895624
SNPS,KDP,-0.7492653649131468
KDP,SNPS,-0.7492653649131468
ZS,MRNA,-0.7488618259054429
MRNA,ZS,-0.7488618259054429
KHC,CMCSA,-0.7487691202707302
CMCSA,KHC,-0.7487691202707302
VRTX,AEP,-0.7474092404719423
AEP,VRTX,-0.7474092404719423
AEP,CMCSA,-0.7470946513138333
CMCSA,AEP,-0.7470946513138333
BKNG,GILD,-0.7468774638002232
GILD,BKNG,-0.7468774638002232
ENPH,AAPL,-0.7467697064776107
AAPL,ENPH,-0.7467697064776107
AMGN,GEHC,-0.7463667238855334
GEHC,AMGN,-0.7463667238855334
GILD,TSLA,-0.745914948815063
TSLA,GILD,-0.745914948815063
PYPL,CTAS,-0.7440773989959997
CTAS,PYPL,-0.7440773989959997
JD,TTD,-0.7430863087321273
TTD,JD,-0.7430863087321273
INTU,JD,-0.742842944390097
JD,INTU,-0.742842944390097
GILD,SGEN,-0.7428167455059346
SGEN,GILD,-0.7428167455059346
INTC,KHC,-0.7417123837108699
KHC,INTC,-0.7417123837108699
AEP,FAST,-0.7412819345838129
FAST,AEP,-0.7412819345838129
GILD,CRWD,-0.7386115908460194
CRWD,GILD,-0.7386115908460194
META,PYPL,-0.7377748780044113
PYPL,META,-0.7377748780044113
SGEN,WBA,-0.7376370369998031
WBA,SGEN,-0.7376370369998031
CEG,BIIB,-0.7372021143929831
BIIB,CEG,-0.7372021143929831
FTNT,AMGN,-0.736984889262835
AMGN,FTNT,-0.736984889262835
AEP,TTD,-0.7359368542531596
TTD,AEP,-0.7359368542531596
KDP,CDNS,-0.7343130842830798
CDNS,KDP,-0.7343130842830798
CMCSA,WBA,-0.7331091147260369
WBA,CMCSA,-0.7331091147260369
KDP,NVDA,-0.7329956596193218
NVDA,KDP,-0.7329956596193218
FANG,ILMN,-0.7327074646160096
ILMN,FANG,-0.7327074646160096
CPRT,PYPL,-0.7326281968363624
PYPL,CPRT,-0.7326281968363624
ENPH,MELI,-0.7321996074803108
MELI,ENPH,-0.7321996074803108
PDD,AZN,-0.7312542354392878
AZN,PDD,-0.7312542354392878
JD,LRCX,-0.7304644555058458
LRCX,JD,-0.7304644555058458
SGEN,HON,-0.7300608514416722
HON,SGEN,-0.7300608514416722
PYPL,NVDA,-0.7298374531973048
NVDA,PYPL,-0.7298374531973048
AVGO,KDP,-0.7281756913354244
KDP,AVGO,-0.7281756913354244
AVGO,ILMN,-0.7271505372660311
ILMN,AVGO,-0.7271505372660311
INTC,AEP,-0.7266540228608422
AEP,INTC,-0.7266540228608422
ZS,ENPH,-0.7261668493121165
ENPH,ZS,-0.7261668493121165
HON,REGN,-0.7244064671076338
REGN,HON,-0.7244064671076338
KDP,FAST,-0.723553944504864
FAST,KDP,-0.723553944504864
MSFT,PYPL,-0.7228908293538725
PYPL,MSFT,-0.7228908293538725
AEP,TSLA,-0.7228075717915133
TSLA,AEP,-0.7228075717915133
KDP,CRWD,-0.7227401475605644
CRWD,KDP,-0.7227401475605644
PYPL,AMZN,-0.7227171939630115
AMZN,PYPL,-0.7227171939630115
JD,CTAS,-0.7225481370056911
CTAS,JD,-0.7225481370056911
ENPH,ODFL,-0.7224012585449028
ODFL,ENPH,-0.7224012585449028
MU,JD,-0.7221850812400439
JD,MU,-0.7221850812400439
JD,AMAT,-0.7214640834958256
AMAT,JD,-0.7214640834958256
DXCM,FANG,-0.7208033887699488
FANG,DXCM,-0.7208033887699488
GILD,PCAR,-0.7207098245804956
PCAR,GILD,-0.7207098245804956
CEG,TXN,-0.720575420224555
TXN,CEG,-0.720575420224555
WBA,TEAM,-0.719028639898693
TEAM,WBA,-0.719028639898693
PYPL,VRTX,-0.7187741049942573
VRTX,PYPL,-0.7187741049942573
JD,COST,-0.7182848448736782
COST,JD,-0.7182848448736782
AMZN,ILMN,-0.7178382103915404
ILMN,AMZN,-0.7178382103915404
ORLY,WBA,-0.7173494050570326
WBA,ORLY,-0.7173494050570326
ADBE,PYPL,-0.7168911996512832
PYPL,ADBE,-0.7168911996512832
AMD,ENPH,-0.7168828365103439
ENPH,AMD,-0.7168828365103439
JD,WDAY,-0.7168172561148226
WDAY,JD,-0.7168172561148226
VRSK,ILMN,-0.7166827171053057
ILMN,VRSK,-0.7166827171053057
AVGO,PYPL,-0.7164043270657666
PYPL,AVGO,-0.7164043270657666
CTSH,XEL,-0.7158341026571923
XEL,CTSH,-0.7158341026571923
FAST,GILD,-0.7154608278924295
GILD,FAST,-0.7154608278924295
JD,ADBE,-0.7148889260431754
ADBE,JD,-0.7148889260431754
GILD,ADBE,-0.7144868655549712
ADBE,GILD,-0.7144868655549712
MRNA,NFLX,-0.7131948219494759
NFLX,MRNA,-0.7131948219494759
ENPH,NFLX,-0.7130976180648058
NFLX,ENPH,-0.7130976180648058
MELI,MRNA,-0.7125611891085272
MRNA,MELI,-0.7125611891085272
GOOG,ILMN,-0.7123432883972219
ILMN,GOOG,-0.7123432883972219
TTD,ENPH,-0.7114445541493247
ENPH,TTD,-0.7114445541493247
AEP,BKR,-0.7100514300841338
BKR,AEP,-0.7100514300841338
MU,GILD,-0.7077255237125597
GILD,MU,-0.7077255237125597
CTAS,XEL,-0.7075740214503737
XEL,CTAS,-0.7075740214503737
GILD,MRVL,-0.7065281062556077
MRVL,GILD,-0.7065281062556077
INTU,GILD,-0.7064089172508701
GILD,INTU,-0.7064089172508701
MELI,JD,-0.7063846731632644
JD,MELI,-0.7063846731632644
MRNA,ODFL,-0.7062969861368112
ODFL,MRNA,-0.7062969861368112
JD,PCAR,-0.7057930069039143
PCAR,JD,-0.7057930069039143
MAR,GILD,-0.7056936634498344
GILD,MAR,-0.7056936634498344
KHC,MU,-0.7045898793526157
MU,KHC,-0.7045898793526157
ILMN,PDD,-0.7045600939590142
PDD,ILMN,-0.7045600939590142
ILMN,GOOGL,-0.7042488410181479
GOOGL,ILMN,-0.7042488410181479
CDNS,PYPL,-0.7037808836560222
PYPL,CDNS,-0.7037808836560222
WBA,BKR,-0.7034049786858375
BKR,WBA,-0.7034049786858375
KHC,SGEN,-0.7025505035350884
SGEN,KHC,-0.7025505035350884
XEL,MU,-0.7025277886304206
MU,XEL,-0.7025277886304206
MSFT,XEL,-0.6993962270079179
XEL,MSFT,-0.6993962270079179
ILMN,LULU,-0.698973481141399
LULU,ILMN,-0.698973481141399
PYPL,PANW,-0.6986809282329921
PANW,PYPL,-0.6986809282329921
LULU,PYPL,-0.6981944058229869
PYPL,LULU,-0.6981944058229869
CRWD,EXC,-0.6977342524713291
EXC,CRWD,-0.6977342524713291
ILMN,CDNS,-0.6976501038766801
CDNS,ILMN,-0.6976501038766801
MAR,ILMN,-0.6967771049304127
ILMN,MAR,-0.6967771049304127
MRVL,XEL,-0.6961320418299474
XEL,MRVL,-0.6961320418299474
FAST,XEL,-0.6952449526776768
XEL,FAST,-0.6952449526776768
COST,GILD,-0.6950025805376732
GILD,COST,-0.6950025805376732
ILMN,MU,-0.6947615874915255
MU,ILMN,-0.6947615874915255
SGEN,AEP,-0.6940447563128107
AEP,SGEN,-0.6940447563128107
CRWD,DLTR,-0.6940350281140802
DLTR,CRWD,-0.6940350281140802
KDP,AMD,-0.6929098943887099
AMD,KDP,-0.6929098943887099
AMD,AEP,-0.6923608618343114
AEP,AMD,-0.6923608618343114
AMZN,KDP,-0.6923542350748375
KDP,AMZN,-0.6923542350748375
SNPS,EXC,-0.6922915129756986
EXC,SNPS,-0.6922915129756986
DDOG,GILD,-0.6922030383978971
GILD,DDOG,-0.6922030383978971
TTD,WBA,-0.6919026966318218
WBA,TTD,-0.6919026966318218
NFLX,KHC,-0.6914382658557343
KHC,NFLX,-0.6914382658557343
AEP,CSCO,-0.6910788017769535
CSCO,AEP,-0.6910788017769535
CMCSA,MRNA,-0.6902055045591367
MRNA,CMCSA,-0.6902055045591367
KLAC,GILD,-0.6899700069831061
GILD,KLAC,-0.6899700069831061
WBA,NFLX,-0.68963416072325
NFLX,WBA,-0.68963416072325
CHTR,XEL,-0.6891884887318981
XEL,CHTR,-0.6891884887318981
TSLA,MRNA,-0.6891339531350381
MRNA,TSLA,-0.6891339531350381
META,ILMN,-0.688706904744032
ILMN,META,-0.688706904744032
KHC,CHTR,-0.6881101502935396
